"Timestamp","How old are you?
","Which gender do you identify as?","Where are you from?","Where do you live?","What is your occupation status?","What is your primary mode of transportation for daily commuting?","How far is your typical daily commute in terms of miles or kilometers?","On average, how much time do you spend commuting each day?","Do you own a personal vehicle (car, motorcycle, bicycle)? If so, what type?","How frequently do you use public transportation (bus, train, subway)?","What is your preferred mode of transportation for longer distances (e.g., intercity travel)?","How satisfied are you with the current transportation options available in your area?","Would you be open to trying new transportation options if they were introduced in your area?","What factors influence your choice of transportation (e.g., convenience, cost, environmental impact)?","Would you be willing to use alternative transportation methods for environmental reasons (e.g., walking, biking)?","Have you ever encountered challenges with your chosen mode of transportation (e.g., delays, breakdowns)?","How would you rate the accessibility of transportation options for individuals with mobility challenges in your area?","In your opinion, in what areas can the  improvements be made to the transportation infrastructure in your area?","Have you considered using electric or hybrid vehicles for your daily commute?","On a scale of 1 to 10, how important is environmental sustainability in your transportation choices?","How often do you engage in active transportation (e.g., walking, biking) for leisure or exercise?","Would you be willing to pay a premium for environmentally friendly transportation options (e.g., electric vehicles, eco-friendly fuels)?","What factors would encourage you to use public transportation more frequently?","In your opinion, how well does the current transportation infrastructure accommodate cyclists and pedestrians?","Do you use any mobile apps or technology to plan or optimize your daily commute?","Do you think there is a need for increased investment in public transportation infrastructure in your area?","Have you ever participated in a transportation-related survey or focus group before this one?","How does the cost of transportation impact your mode of choice? Are you willing to pay a premium for specific benefits?","How important is safety in influencing your transportation decisions?","How do you perceive public transportation in terms of comfort, convenience, and overall experience?","Do you prefer a single mode of transportation or a combination (e.g., walking + public transit)?","Have you ever participated in carpooling or ride-sharing programs?","Have you ever used a bike-sharing or scooter-sharing service?","How many times per week do you use your personal vehicle for non-commuting purposes?","How important is parking availability when choosing your mode of transportation?","",""
"2024/01/25 6:41:04 PM GMT+3","18-25","Female","Cameroon","Cameroon","Self employed","Car","Less than 8 km (5 miles)","Less than 15 minutes","I do not own a personal vehicle","Never","Bus","3","Yes, probably","Convenience","Probably","Rarely","Neutral","Types of transport can be increased","No","9","Never","Yes","Enhanced safety measures","Poorly","Never","5","No","Cost is a consideration but not a deciding factor","Very Important","Neutral","It depends on the circumstances","No, never","No","Rarely","Important","",""
"2024/01/25 6:42:57 PM GMT+3","36-45","Male","Cameroon","Italy","Employed","Car","Less than 8 km (5 miles)","15-30 minutes","Car","Rarely","Train","3","Yes, definitely","Time efficiency","Definitely","Occasionally","Somewhat accessible","Types of transport can be increased","Yes","10","Daily","No","Enhanced safety measures","Poorly","Daily","5","No","Neutral","Very Important","Positive","It depends on the circumstances","Yes, occasionally","Yes","2-3 times a week","Very important","",""
"2024/01/25 6:46:14 PM GMT+3","18-25","Female","France","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","3","Yes, probably","Cost","Probably","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","6","Daily","Yes","Lower cost","Adequately","Daily","4","No","Neutral","Important","Neutral","Combination of modes","Yes, occasionally","Yes","Rarely","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 6:47:52 PM GMT+3","26-35","Male","Cameroon","Italy","Unemployed","Public transit (bus, train, subway)","Less than 8 km (5 miles)","Less than 15 minutes","Car","Daily","Bus","3","Maybe","Time efficiency","Neutral","Rarely","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","5","Daily","No","Lower cost","Neutral","Rarely","5","No","Cost is the primary consideration","Important","Positive","Combination of modes","No, never","No","Never","Important","",""
"2024/01/25 6:50:22 PM GMT+3","56-65","Male","Turkey","Turkey","Self employed","Car","16-32 km (10-20 miles)","30-60 minutes","Car","Rarely","Airplane","3","Yes, probably","Time efficiency","Neutral","Frequently","Not very accessible","# of lines can be increased","No","5","Rarely","Yes","Enhanced safety measures","Poorly","Regularly","5","No","Willing to pay a premium","Important","Neutral","Combination of modes","No, never","No","Daily","Very important","",""
"2024/01/25 6:56:11 PM GMT+3","26-35","Male","Cameroon","Cameroon","Employed","Car","16-32 km (10-20 miles)","30-60 minutes","I do not own a personal vehicle","Rarely","Bus","2","Yes, probably","Time efficiency","Probably","Occasionally","Not very accessible","Types of transport can be increased","Yes","3","Rarely","Yes","Lower cost","Adequately","Regularly","5","No","Neutral","Important","Neutral","Combination of modes","No, never","No","Rarely","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 6:59:13 PM GMT+3","46-55","Female","Turkey","Turkey","Retired","Car","16-32 km (10-20 miles)","60-90 minutes","Car","Once a week","Car","5","Yes, definitely","Convenience","Probably","Occasionally","Not very accessible","# of vehicles (transport frequency) can be increased","Yes","10","2-3 times a week","Yes","Better connectivity","Adequately","Occasionally","4","No","Prefer lower-cost options","Very Important","Neutral","Combination of modes","No, never","No","2-3 times a week","Very important","",""
"2024/01/25 7:08:26 PM GMT+3","26-35","Male","Nigeria","Italy","Student","Bicycle","More than 48 km (30 miles)","More than 90 minutes","Bicycle","Daily","Airplane","1","Yes, definitely","Cost","Neutral","Frequently","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","10","Daily","Yes","Better connectivity","Adequately","Daily","3","No","Neutral","Very Important","Neutral","It depends on the circumstances","No, never","Yes","Rarely","Very important","",""
"2024/01/25 7:12:13 PM GMT+3","46-55","Female","Turkey","Austria","Employed","Car","8-16 km (5-10 miles)","30-60 minutes","Car","Rarely","Car","2","Yes, probably","Convenience","Probably not","Never","Somewhat accessible","Types of transport can be increased","No","7","Rarely","Yes","Improved reliability","Neutral","Regularly","4","No","Willing to pay a premium","Important","Neutral","Combination of modes","No, never","No","Once a week","Important","",""
"2024/01/25 7:15:41 PM GMT+3","18-25","Female","Turkey","Turkey","Employed","Public transit (bus, train, subway)","32-48 km (20-30 miles )","More than 90 minutes","I do not own a personal vehicle","Daily","Airplane","4","Yes, definitely","Time efficiency","Neutral","Occasionally","Not very accessible","# of vehicles (transport frequency) can be increased","No","3","Rarely","No","Better connectivity","Poorly","Regularly","5","No","Prefer lower-cost options","Neutral","Negative","It depends on the circumstances","Yes, occasionally","Yes","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 7:18:14 PM GMT+3","26-35","Male","Cameroon","Cameroon","Self employed","Motorcycle","16-32 km (10-20 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Bus","3","Yes, probably","Safety","Probably","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","8","Daily","No","Lower cost","Adequately","Regularly","4","No","Neutral","Very Important","Positive","It depends on the circumstances","No, never","No","Never","Very important","",""
"2024/01/25 7:21:57 PM GMT+3","18-25","Male","Cameroon","Italy","Employed","Bicycle","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","2-3 times a week","Airplane","4","Maybe","Convenience","Neutral","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","4","Rarely","No","Enhanced safety measures","Neutral","Occasionally","3","No","Neutral","Neutral","Neutral","Single mode","Yes, occasionally","Yes","2-3 times a week","Neutral","",""
"2024/01/25 7:22:10 PM GMT+3","18-25","Female","Cameroon","United Kingdom","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","Daily","Car","4","Yes, definitely","Cost","Definitely","Frequently","Very accessible","# of vehicles (transport frequency) can be increased","Yes","7","Daily","Yes","Improved reliability","Very well","Daily","3","No","Cost is a consideration but not a deciding factor","Very Important","Positive","Combination of modes","No, never","No","2-3 times a week","Very important","",""
"2024/01/25 7:23:41 PM GMT+3","18-25","Male","Turkey","Germany","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","Daily","Bus","5","Maybe","Time efficiency","Probably not","Rarely","Very accessible","# of lines can be increased","Yes","1","Never","No","Better connectivity","Very well","Daily","2","No","Cost is the primary consideration","Not at all Important","Positive","It depends on the circumstances","No, never","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 7:27:10 PM GMT+3","26-35","Male","Cameroon","Cameroon","Student","Car","Less than 8 km (5 miles)","I do not have a daily commute","I do not own a personal vehicle","Daily","Car","3","Yes, definitely","Cost","Definitely","Occasionally","Neutral","# of lines can be increased","No","6","Daily","Yes","Better connectivity","Neutral","Occasionally","1","No","Cost is a consideration but not a deciding factor","Neutral","Neutral","Combination of modes","Yes, occasionally","No","Never","Important","",""
"2024/01/25 7:32:13 PM GMT+3","18-25","Male","Germany","Germany","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","Bicycle","Daily","Train","4","Yes, probably","Environmental impact","Probably","Rarely","Very accessible","# of lines can be increased","No","7","Never","No","Lower cost","Adequately","Occasionally","3","Yes","Cost is a consideration but not a deciding factor","Neutral","Positive","It depends on the circumstances","No, never","Yes","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 7:39:02 PM GMT+3","<18","Male","Tunisia","Italy","Student","Car","16-32 km (10-20 miles)","I do not have a daily commute","Car","Daily","Train","2","Maybe","Environmental impact","Definitely","Occasionally","Neutral","# of lines can be increased","Yes","2","Daily","Yes","Improved reliability","Very well","Regularly","2","Yes","Willing to pay a premium","Very Important","Very Positive","Combination of modes","Yes, occasionally","Yes","Daily","Important","",""
"2024/01/25 7:40:00 PM GMT+3","26-35","Female","Cameroon","Tunisia","Unemployed","Walking","I do not have a daily commute","I do not have a daily commute","I do not own a personal vehicle","Rarely","Car","3","Yes, probably","Time efficiency","Definitely","Frequently","Somewhat accessible","Types of transport can be increased","Yes","7","2-3 times a week","Yes","Enhanced safety measures","Neutral","Never","4","No","Cost is a consideration but not a deciding factor","Very Important","Negative","It depends on the circumstances","No, never","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 7:41:20 PM GMT+3","26-35","Male","Turkey","Turkey","Employed","Public transit (bus, train, subway)","16-32 km (10-20 miles)","60-90 minutes","I do not own a personal vehicle","Daily","Airplane","5","No, definitely not","Time efficiency","Definitely not","Rarely","Very accessible","# of vehicles (transport frequency) can be increased","No","1","Daily","No","Better connectivity","Very well","Never","5","No","Prefer lower-cost options","Not at all Important","Positive","Single mode","No, never","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 7:42:22 PM GMT+3","26-35","Male","United States","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","60-90 minutes","Bicycle","Daily","Car","4","Yes, definitely","Convenience","Definitely","Frequently","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","7","Once a week","Yes","More reasons to travel would encourage me to use it more frequently","Adequately","Daily","4","No","Neutral","Very Important","Positive","It depends on the circumstances","Yes, occasionally","Yes","2-3 times a week","Neutral","",""
"2024/01/25 7:47:41 PM GMT+3","18-25","Female","Turkey","Turkey","Employed","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Bus","3","Yes, definitely","Environmental impact","Definitely","Frequently","Somewhat accessible","# of lines can be increased","Yes","10","2-3 times a week","Yes","Lower cost","Very poorly","Rarely","5","No","Prefer lower-cost options","Very Important","Neutral","It depends on the circumstances","No, never","No","Never","Very important","",""
"2024/01/25 7:50:10 PM GMT+3","18-25","Female","Turkey","Spain","Prefer not to say","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","2-3 times a week","Train","5","Yes, definitely","Convenience","Definitely","Occasionally","Very accessible","# of lines can be increased","Yes","7","2-3 times a week","Yes","Better connectivity","Very well","Occasionally","3","No","Cost is a consideration but not a deciding factor","Very Important","Positive","Combination of modes","Yes, occasionally","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 7:53:32 PM GMT+3","18-25","Male","Turkey","Turkey","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","2-3 times a week","Train","4","Yes, probably","Cost","Probably","Rarely","Neutral","# of vehicles (transport frequency) can be increased","No","7","2-3 times a week","No","Better connectivity","Neutral","Occasionally","3","No","Prefer lower-cost options","Very Important","Neutral","Combination of modes","Yes, occasionally","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 7:55:46 PM GMT+3","26-35","Male","Tunisia","Italy","Employed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","4","Yes, probably","Cost","Probably","Occasionally","Neutral","# of lines can be increased","No","7","Once a week","No","Lower cost","Neutral","Regularly","3","No","Cost is a consideration but not a deciding factor","Very Important","Positive","Single mode","No, never","Yes","Never","Very important","",""
"2024/01/25 8:00:20 PM GMT+3","18-25","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Bus","3","Maybe","Cost","Probably","Occasionally","Neutral","# of vehicles (transport frequency) can be increased","Yes","8","Once a week","Yes","Lower cost","Neutral","Regularly","3","Yes","Neutral","Neutral","Positive","Combination of modes","Yes, occasionally","Yes","Once a week","Important","",""
"2024/01/25 8:02:37 PM GMT+3","26-35","Male","Cameroon","United States","Employed","Car","8-16 km (5-10 miles)","30-60 minutes","Car","Rarely","Airplane","4","Yes, definitely","Convenience","Definitely","Rarely","Somewhat accessible","# of lines can be increased","Yes","9","2-3 times a week","Yes","Better connectivity","Adequately","Occasionally","4","No","Neutral","Important","Positive","It depends on the circumstances","Yes, occasionally","Yes","2-3 times a week","Important","",""
"2024/01/25 8:14:29 PM GMT+3","36-45","Male","Cameroon","Italy","Employed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","60-90 minutes","Car","Daily","Car","3","Yes, probably","Environmental impact","Definitely","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","6","2-3 times a week","Yes","Enhanced safety measures","Adequately","Regularly","4","No","Neutral","Important","Negative","Single mode","No, never","No","2-3 times a week","Important","",""
"2024/01/25 8:16:35 PM GMT+3","26-35","Male","Turkey","Turkey","Employed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","60-90 minutes","Bicycle","Daily","Car","3","Yes, probably","Time efficiency","Neutral","Rarely","Not very accessible","# of vehicles (transport frequency) can be increased","No","5","2-3 times a week","No","Lower cost","Very poorly","Occasionally","5","Yes","Neutral","Important","Negative","Combination of modes","No, never","No","2-3 times a week","Important","",""
"2024/01/25 8:23:45 PM GMT+3","18-25","Female","Tunisia","Tunisia","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","Less than 15 minutes","Car","2-3 times a week","Car","3","No, definitely not","Environmental impact","Neutral","Never","Neutral","Types of transport can be increased","No","6","2-3 times a week","No","Enhanced safety measures","Neutral","Daily","3","No","Neutral","Important","Negative","It depends on the circumstances","Yes, occasionally","No","2-3 times a week","Important","",""
"2024/01/25 8:45:11 PM GMT+3","26-35","Male","Cameroon","Italy","Unemployed","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","Bicycle","Daily","Airplane","3","Yes, probably","Cost","Neutral","Frequently","Neutral","Types of transport can be increased","No","4","Rarely","No","Lower cost","Very well","Daily","3","No","Neutral","Very Important","Positive","It depends on the circumstances","No, never","No","Rarely","Important","",""
"2024/01/25 9:01:34 PM GMT+3","26-35","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","60-90 minutes","I do not own a personal vehicle","Daily","Car","3","Yes, definitely","Time efficiency","Neutral","Frequently","Neutral","# of vehicles (transport frequency) can be increased","Yes","3","Once a week","No","Lower cost","Poorly","Daily","5","No","Neutral","Very Important","Negative","It depends on the circumstances","Yes, occasionally","No","Never","Neutral","",""
"2024/01/25 9:22:21 PM GMT+3","36-45","Male","Cote d'Ivoire","Italy","Employed","Public transit (bus, train, subway)","16-32 km (10-20 miles)","60-90 minutes","I do not own a personal vehicle","Daily","Airplane","3","Yes, probably","Environmental impact","Probably","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","8","Daily","Yes","Lower cost","Adequately","Daily","4","No","Cost is a consideration but not a deciding factor","Important","Neutral","It depends on the circumstances","Yes, occasionally","No","Never","Neutral","",""
"2024/01/25 9:48:05 PM GMT+3","18-25","Male","Cameroon","Italy","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Rarely","Train","3","Yes, probably","Cost","Definitely","Occasionally","Not very accessible","Types of transport can be increased","No","4","Once a week","No","Lower cost","Poorly","Regularly","5","No","Willing to pay a premium","Very Important","Positive","It depends on the circumstances","No, never","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 10:33:02 PM GMT+3","26-35","Male","Cameroon","Italy","Employed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","60-90 minutes","Bicycle","2-3 times a week","Train","3","Yes, probably","Cost","Definitely","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","5","2-3 times a week","Yes","Better connectivity","Neutral","Regularly","5","Yes","Willing to pay a premium","Important","Positive","Single mode","Yes, occasionally","Yes","Never","Very important","",""
"2024/01/25 10:35:48 PM GMT+3","18-25","Female","Cameroon","Italy","Student","Public transit (bus, train, subway)","8-16 km (5-10 miles)","Less than 15 minutes","I do not own a personal vehicle","2-3 times a week","Bus","2","Yes, probably","Time efficiency","Neutral","Never","Neutral","# of vehicles (transport frequency) can be increased","Yes","3","Never","No","Lower cost","Neutral","Regularly","3","No","Prefer lower-cost options","Not Important","Positive","Combination of modes","Yes, occasionally","No","Never","Important","",""
"2024/01/25 10:43:21 PM GMT+3","26-35","Male","Cameroon","Cameroon","Employed","Motorcycle","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Airplane","1","Yes, definitely","Time efficiency","Definitely not","Rarely","Somewhat accessible","Types of transport can be increased","No","1","Daily","No","Lower cost","Very poorly","Rarely","5","No","Prefer lower-cost options","Not Important","Neutral","It depends on the circumstances","No, never","No","Rarely","Neutral","",""
"2024/01/25 10:48:40 PM GMT+3","26-35","Female","Cameroon","Cameroon","Unemployed","Motorcycle","8-16 km (5-10 miles)","Less than 15 minutes","I do not own a personal vehicle","Daily","Airplane","1","Yes, definitely","Time efficiency","Definitely","Occasionally","Somewhat accessible","Types of transport can be increased","Yes","9","Rarely","Yes","Lower cost","Neutral","Never","5","No","Cost is a consideration but not a deciding factor","Very Important","Neutral","Combination of modes","No, never","Yes","Never","Important","",""
"2024/01/25 10:49:20 PM GMT+3","18-25","Male","Tunisia","Tunisia","Self employed","Walking","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","Rarely","Car","4","Yes, probably","Time efficiency","Probably","Rarely","Somewhat accessible","Types of transport can be increased","No","3","Rarely","No","Better connectivity","Adequately","Rarely","4","No","Prefer lower-cost options","Important","Positive","It depends on the circumstances","Yes, occasionally","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/25 11:19:54 PM GMT+3","26-35","Female","Cameroon","Cameroon","Employed","Motorcycle","Less than 8 km (5 miles)","15-30 minutes","I do not own a personal vehicle","Rarely","Car","5","Yes, probably","Time efficiency","Definitely","Occasionally","Not accessible at all","# of vehicles (transport frequency) can be increased","Yes","4","Rarely","Yes","Improved reliability","Very poorly","Rarely","2","No","Neutral","Very Important","Very Negative","It depends on the circumstances","Yes, occasionally","Yes","Rarely","Very important","",""
"2024/01/26 12:22:24 AM GMT+3","26-35","Female","Cameroon","Cameroon","Unemployed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","15-30 minutes","I do not own a personal vehicle","Daily","Car","5","Yes, definitely","Environmental impact","Definitely","Occasionally","Very accessible","# of lines can be increased","No","5","Daily","Yes","Lower cost","Neutral","Occasionally","1","Yes","Willing to pay a premium","Very Important","Neutral","Combination of modes","Yes, occasionally","Yes","Never","Neutral","",""
"2024/01/26 12:28:31 AM GMT+3","18-25","Male","Tunisia","Tunisia","Student","Walking","Less than 8 km (5 miles)","Less than 15 minutes","I do not own a personal vehicle","2-3 times a week","Train","3","Yes, definitely","Convenience","Definitely","Frequently","Very accessible","# of lines can be increased","Yes","3","2-3 times a week","Yes","Improved reliability","Very well","Daily","3","Yes","Willing to pay a premium","Important","Positive","Single mode","Yes, regularly","Yes","2-3 times a week","Very important","",""
"2024/01/26 12:30:25 AM GMT+3","26-35","Female","Cameroon","France","Employed","Public transit (bus, train, subway)","32-48 km (20-30 miles )","60-90 minutes","Car","2-3 times a week","Airplane","3","Yes, probably","Cost","Neutral","Occasionally","Not very accessible","# of lines can be increased","Yes","5","Never","No","Improved reliability","Neutral","Daily","3","No","Cost is a consideration but not a deciding factor","Important","Very Negative","Single mode","No, never","No","2-3 times a week","Very important","",""
"2024/01/26 12:31:18 AM GMT+3","18-25","Male","Cameroon","Canada","Employed","Public transit (bus, train, subway)","32-48 km (20-30 miles )","More than 90 minutes","I do not own a personal vehicle","Daily","Airplane","4","Yes, probably","Time efficiency","Neutral","Occasionally","Somewhat accessible","Types of transport can be increased","Yes","6","2-3 times a week","No","Improved reliability","Adequately","Daily","2","No","Cost is a consideration but not a deciding factor","Very Important","Positive","It depends on the circumstances","Yes, occasionally","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/26 12:40:53 AM GMT+3","18-25","Female","Cameroon","Cameroon","Prefer not to say","Car","Less than 8 km (5 miles)","30-60 minutes","Car","Rarely","Airplane","5","Yes, definitely","Safety","Probably","Occasionally","Neutral","# of vehicles (transport frequency) can be increased","Yes","5","Rarely","Yes","Lower cost","Neutral","Occasionally","3","Yes","Willing to pay a premium","Very Important","Very Positive","It depends on the circumstances","No, never","Yes","Daily","Important","",""
"2024/01/26 12:50:20 AM GMT+3","46-55","Female","Turkey","Turkey","Retired","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","Car","2-3 times a week","Airplane","4","Yes, definitely","Time efficiency","Probably","Rarely","Very accessible","Types of transport can be increased","No","9","2-3 times a week","Yes","Lower cost","Poorly","Regularly","2","No","Cost is a consideration but not a deciding factor","Very Important","Neutral","It depends on the circumstances","No, never","No","Once a week","Very important","",""
"2024/01/26 12:59:46 AM GMT+3","26-35","Female","Cameroon","Cameroon","Prefer not to say","Public transit (bus, train, subway)","8-16 km (5-10 miles)","60-90 minutes","I do not own a personal vehicle","Rarely","Car","3","Yes, definitely","Cost","Probably","Rarely","Not very accessible","# of lines can be increased","No","1","Daily","No","Lower cost","Neutral","Rarely","5","No","Neutral","Very Important","Very Positive","It depends on the circumstances","No, never","Yes","Never","Very important","",""
"2024/01/26 1:42:28 AM GMT+3","18-25","Female","Cameroon","Cameroon","Prefer not to say","Motorcycle","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Airplane","3","Maybe","Cost","Neutral","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","6","Daily","No","Lower cost","Adequately","Regularly","3","No","Willing to pay a premium","Important","Positive","It depends on the circumstances","Yes, occasionally","No","Daily","Important","",""
"2024/01/26 1:49:36 AM GMT+3","26-35","Female","Tunisia","Tunisia","Employed","Public transit (bus, train, subway)","Less than 8 km (5 miles)","15-30 minutes","Car","Once a week","Train","3","Probably not","Cost","Probably not","Occasionally","Neutral","# of vehicles (transport frequency) can be increased","No","5","2-3 times a week","Yes","Enhanced safety measures","Adequately","Rarely","3","Yes","Neutral","Very Important","Positive","Single mode","Yes, occasionally","Yes","2-3 times a week","Important","",""
"2024/01/26 1:51:12 AM GMT+3","26-35","Male","Tunisia","Tunisia","Retired","Car","Less than 8 km (5 miles)","30-60 minutes","Motorcycle","Once a week","Bus","3","Maybe","Time efficiency","Probably not","Rarely","Somewhat accessible","# of lines can be increased","No","5","2-3 times a week","No","Enhanced safety measures","Very well","Occasionally","2","No","Neutral","Not Important","Negative","It depends on the circumstances","Yes, regularly","No","2-3 times a week","Not important","",""
"2024/01/26 1:57:06 AM GMT+3","18-25","Male","Tunisia","Tunisia","Unemployed","Public transit (bus, train, subway)","I do not have a daily commute","I do not have a daily commute","I do not own a personal vehicle","Rarely","Airplane","2","Yes, definitely","Time efficiency","Probably not","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","No","5","Rarely","No","Lower cost","Very poorly","Never","5","No","Cost is a consideration but not a deciding factor","Important","Neutral","It depends on the circumstances","No, never","No","Never","Important","",""
"2024/01/26 2:10:36 AM GMT+3","26-35","Male","Mexico","Italy","Student","Bicycle","Less than 8 km (5 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","4","Maybe","Cost","Probably","Occasionally","Somewhat accessible","# of vehicles (transport frequency) can be increased","Yes","8","Daily","Yes","Better connectivity","Adequately","Daily","3","No","Prefer lower-cost options","Important","Positive","It depends on the circumstances","No, never","Yes","Never","Very important","",""
"2024/01/26 2:19:46 AM GMT+3","26-35","Female","Tunisia","United States","Student","Public transit (bus, train, subway)","Less than 8 km (5 miles)","Less than 15 minutes","I do not own a personal vehicle","Daily","Airplane","4","Yes, definitely","Convenience","Probably","Occasionally","Neutral","# of lines can be increased","Yes","7","Rarely","Yes","Lower cost","Neutral","Regularly","2","No","Cost is a consideration but not a deciding factor","Important","Very Positive","Single mode","No, never","Yes","Rarely","Important","",""
"2024/01/26 3:15:56 AM GMT+3","26-35","Male","Tunisia","Tunisia","Employed","Car","More than 48 km (30 miles)","More than 90 minutes","Car","Rarely","Airplane","2","Yes, definitely","Cost","Probably not","Occasionally","Somewhat accessible","Types of transport can be increased","No","2","Never","Yes","Lower cost","Poorly","Never","5","No","Prefer lower-cost options","Very Important","Negative","It depends on the circumstances","Yes, occasionally","Yes","2-3 times a week","Important","",""
"2024/01/26 3:52:29 AM GMT+3","18-25","Male","Egypt","Italy","Employed","Public transit (bus, train, subway)","Less than 8 km (5 miles)","More than 90 minutes","I do not own a personal vehicle","Daily","Train","1","Yes, definitely","Cost","Probably not","Frequently","Somewhat accessible","Types of transport can be increased","Yes","1","Daily","No","Lower cost","Neutral","Occasionally","5","No","Cost is the primary consideration","Not at all Important","Very Negative","It depends on the circumstances","No, never","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/26 4:33:40 AM GMT+3","26-35","Male","Tunisia","Italy","Employed","Public transit (bus, train, subway)","8-16 km (5-10 miles)","30-60 minutes","I do not own a personal vehicle","Daily","Train","3","Yes, probably","Time efficiency","Probably","Rarely","Neutral","# of vehicles (transport frequency) can be increased","No","8","Once a week","Yes","Enhanced safety measures","Neutral","Occasionally","4","No","Prefer lower-cost options","Important","Very Positive","Combination of modes","Yes, regularly","Yes","Rarely","Important","",""
"2024/01/26 5:14:46 AM GMT+3","18-25","Female","Tunisia","Tunisia","Prefer not to say","Public transit (bus, train, subway)","Less than 8 km (5 miles)","Less than 15 minutes","I do not own a personal vehicle","2-3 times a week","Car","2","Yes, definitely","Time efficiency","Probably","Frequently","Not very accessible","Types of transport can be increased","No","2","Once a week","No","Enhanced safety measures","Very poorly","Never","5","No","Prefer lower-cost options","Very Important","Very Positive","Combination of modes","No, never","No","Never","Not applicable (I do not own a personal vehicle)","",""
"2024/01/26 8:11:35 AM GMT+3","56-65","Male","Turkey","Turkey","Employed","Car","16-32 km (10-20 miles)","60-90 minutes","I do not own a personal vehicle","Rarely","Airplane","3","Yes, probably","Cost","Probably","Occasionally","Not very accessible","Types of transport can be increased","Yes","8","2-3 times a week","Yes","Better connectivity","Very poorly","Occasionally","5","No","Prefer lower-cost options","Important","Positive","Combination of modes","No, never","No","Rarely","Very important","",""
"2024/01/26 8:45:02 AM GMT+3","18-25","Male","Tunisia","United States","Student","Motorcycle","Less than 8 km (5 miles)","15-30 minutes","Bicycle","Rarely","Airplane","5","Yes, definitely","Time efficiency","Probably","Occasionally","Very accessible","# of lines can be increased","Yes","8","2-3 times a week","Yes","Lower cost","Adequately","Occasionally","4","No","Neutral","Neutral","Positive","Single mode","Yes, occasionally","No","Never","Important","",""
